단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
7급,CLS7,SEVENTH CLASS,,,생략
7년,YY7,7 YEAR,,,생략
7년차,ORDYR7,SEVENTH ORDER BY YEAR,,,생략
7단계,STP7,SEVENTH STEP,,,생략
7분기,QTR7,SEVENTH QUARTER,,,생략
7사람,HUMN7,7 HUMAN,,,생략
7월,JUL,JULY,JUL,,생략
7종보급품,CS7,CLASS 7 SUPPLIES,7종,,생략
7차,SETH,SEVENTH,,,생략
8,8,EIGHT,,,생략
81밀리미터,MM81,81 MILLIMETER,,,생략
8급,CLS8,EIGHT CLASS,,,생략
8년,YY8,8 YEAR,,,생략
8년차,ORDYR8,EIGHTH ORDER BY YEAR,,,생략
8단계,STP8,EIGHTH STEP,,,생략
8분기,QTR8,EIGHTH QUARTER,,,생략
8사람,HUMN8,8 HUMAN,,,생략
8시간,TIME8,8 TIME,,,생략
8월,AUG,AUGUST,AUG,,생략
8종보급품,CS8,CLASS 8 SUPPLIES,8종,,생략
8차,EITH,EIGHTH,,,생략
8톤카고,TC8,8 TON CARGO,,,생략
9,9,NINE,,,생략
90밀리미터,MM90,90 MILLIMETER,,,생략
9급,CLS9,NINTH CLASS,,,생략
9년,YY9,9 YEAR,,,생략
9년차,ORDYR9,NINTH ORDER BY YEAR,,,생략
9단계,STP9,NINTH STEP,,,생략
9분기,QTR9,NINTH QUARTER,,,생략
9사람,HUMN9,9 HUMAN,,,생략
9월,SEP,SEPTEMBER,SEP,,생략
9종보급품,CS9,CLASS 9 SUPPLIES,9종,,생략
9차,NITH,NINTH,,,생략
A0,A0,A0,,,생략
A1,A1,A1,,,생략
A2,A2,A2,,,생략
A3,A3,A3,,,생략
A4,A4,A4,,,생략
A4지,A4P,A4 PAPER,,,생략
AAIC,AAIC,ACCOUNTING AUTHORITY IDENTIFICATION CODE,,,생략
ABC재고그룹,ABCGR,ABC STOCK GROUP,,,생략
ABR,AWBDRT,ANSWER BID RATIO,,,생략
AC,ALTRCRT,ALTERNATING CURRENT,,,생략
ADSL,ADSL,ASYMMETRIC DIGITAL SUBSCRIBER LINE,,,생략
AMARG,AMARG,AEROSPACE MAINTENANCE AND REGENERATION GROUP,,,생략
AMPN,AMPN,AMPN,,,생략
ANTPQ,TPQ,ARMY-NAVY TPQ,TPQ,,생략
ANTPQ36,TPQ36,ARMY-NAVY TPQ-36,TPQ36,,생략
ANTPQ37,TPQ37,ARMY-NAVY TPQ-37,TPQ37,,생략
ANTSQ73,TSQ73,AN/TSQ-73,,,생략
APICM,APICM,ARMOR PIERCING IMPROVED CONVENTIONAL MUNITIONS,,,생략
ARS,ARS,AUTOMATIC RESPONSE SYSTEM,,,생략
ARTHUR,ARTHUR,ARTILLERY HUNTING RADAR,,,생략
ASR,AIRSR,AIRBORNE SURVEILANCE RARDAR,,,생략
ASUPTBY,ASUPTBY,AIR SUPPORT BY,,,생략
ASUPTFOR,ASUPTFOR,AIR SUPPORT FOR,,,생략
ATA까르네발급단체,ATACIB,ATA CARNET ISSUE BODY,,,생략
ATA까르네발급업체,ATACIC,ATA CARNET ISSUE CORPORATION,,,생략
ATA까르네보증단체,ATACGB,ATA CARNET GUARANTEES BODY,,,생략
ATC,ATC,AUTOMATIC TABLET COUNTING & PACKING SYSTEM,,,생략
ATCAL,ATCAL,ATTRITION CALIBRATION ALGORITHM,,,생략
ATCAL보드,ATCALB,ATTRITION CALIBRATION ALGORITHM BOARD,,,생략
AXBT,AXBT,AIR-BORNE XBT,,,생략
A형간염,HA,HEPATITIS A,에이형간염,,생략
BATCH구동자,BTCHEXOR,BATCH EXECUTOR,,,생략
BCG,BCG,BACILLE DE CALMETTE-GUERIN VACCINE,,,생략
BCIS,BCIS,BATTLEFIELD COMBAT IDENTIFICATION SYSTEM,,,생략
BIN,BIN,BIN,,,생략
BOM,BOM,BILL OF MATERIALS,,,생략
BOOKING,BOOKING,BOOKING,,,생략
BOOKING번호,BOOKINGNO,BOOKING NUMBER,,분류어,생략
BPM,BPM,BUSINESS PROCESS MANAGEMENT,,,생략
BPR,BPR,BUSINESS PROCESS REENGINEERING,,,생략
B형간염,HB,HEPATITIS B,,,생략
B형간염항원,HBAG,HEPATITIS B ANTIGEN,,,생략
B형간염항원결과,HBAGRT,HEPATITIS B ANTIGEN RESULT,,,생략
B형간염항체,HBAC,HEPATITIS B ANTIBODY,,,생략
B형간염항체결과,HBACRT,HEPATITIS B ANTIBODY RESULT,,,생략
C4ISR,C4ISR,COMMAND CONTROL COMMUNICATION COMPUTER INTELLIGENCE SURVEILLANCE AND RECONNAISSANCE,,,생략
CAGE,CAGE,COMMERCIAL AND GOVERNMENT ENTITY,,,생략
CCTV,CCTV,CLOSED-CIRCUIT TELEVISION,,,생략
CEB번호,CEBNO,COMBINED EFFECTS BOARD NUMBER,,분류어,생략
CFR,CFR,COST AND FREIGHT,,,생략
CHIP영상,CHIPIMG,CHIP IMAGE,,,생략
CMS,CMS,CASH MANAGEMENT SERVICE,,,생략
COB업체,COBCOMP,COURIER ON BOARD COMPANY,,,생략
COSAGE,COSAGE,COMBAT SAMPLE GENERATOR,,,생략
CPIN,CPIN,COMPUTER PROGRAM IDENTIFICATION NUMBER,,,생략
CPM,CPM,CRITICAL PATH METHOD,,,생략
CPU,CPU,CENTRAL PROCESSING UNIT,,,생략
CRUD,CRUD,"CREATE, READ, UPDATE AND DELETE",,,생략
CTD,CTD,CONDUCTIVITY TEMPERATURE AND DEPTH,,,생략
CUDM,CUDM,CREATE UPDATE DELETE AND MANUAL,,,생략
C일,CDAY,COMMENCEMENT DAY,"전개개시일,C-DAY,증원개시일,CDAY",분류어,생략
C형간염,HC,HEPATITIS C,,,생략
C형간염항체,HCAB,HEPATITIS C ANTIBODY,,,생략
C형간염항체결과,HCABRT,HEPATITIS C ANTIBODY RESULT,,,생략
D+10일,DD10,D 10 DAY,"D10일,D10",,생략
D+120일,DD120,D 120 DAY,"D120일,D120",,생략
D+136일,DD136,D 136 DAY,"D136일,D136",,생략
D+13일,DD13,D 13 DAY,"D13일,D13",,생략
D+15일,DD15,D 15 DAY,"D15일,D15",,생략
D+1일,DD1,D 1 DAY,"D1일,D1,D-DAY+1일",,생략
D+20일,DD20,D 20 DAY,"D20일,D20",,생략
D+22일,DD22,D 22 DAY,"D22일,D22",,생략
D+245일,DD245,D 245 DAY,"D245일,D245",,생략
D+25일,DD25,D 25 DAY,"D25일,D25",,생략
D+2일,DD2,D 2 DAY,"D2일,D2,D-DAY+2일",,생략
D+30일,DD30,D 30 DAY,"D30일,D30,30일",,생략
D+33일,DD33,D 33 DAY,"D33일,D33",,생략
D+365일,DD365,D 365 DAY,365일,,생략
D+3일,DD3,D 3 DAY,"D3일,D3,D-DAY+3일",,생략
D+45일,DD45,D 45 DAY,"D45일,D45",,생략
D+48일,DD48,D 48 DAY,"D48일,D48",,생략
D+4일,DD4,D 4 DAY,"D4일,D4,D-DAY+4일",,생략
D+55일,DD55,D 55 DAY,"D55일,D55",,생략
D+58일,DD58,D 58 DAY,"D58일,D58",,생략
D+5일,DD5,D 5 DAY,"D5일,D5,D-DAY+5일",,생략
D+60일,DD60,D 60 DAY,"D60일,D60,60일",,생략
D+65일,DD65,D 65 DAY,"D65일,D65",,생략
D+68일,DD68,D 68 DAY,"D68일,D68",,생략
D+6일,DD6,D 6 DAY,,,생략
D+75일,DD75,D 75 DAY,"D75일,D75",,생략
D+78일,DD78,D 78 DAY,"D78일,D78",,생략
D+7일,DD7,D 7 DAY,,,생략
D+8일,DD8,D 8 DAY,,,생략
D+90일,DD90,D 90 DAY,"D90일,D90",,생략
D+9일,DD9,D 9 DAY,,,생략
DAP,DAP,"DEPARTURE, APPROACH, PRECISION APPROACH RADAR",,,생략
DBMS,DBMS,DATABASE MANAGEMENT SYSTEM,,,생략
DC일시,DCDNT,DISCONTINUE DATE AND TIME,,,생략
DC처방,DCORD,DISCONTINUE ORDER,,,생략
DEADSLOT,DEADSLOT,DEAD SLOT,DEAD-SLOT,,생략
DECK,DCK,DECK,,,생략
DECK출처코드,DECKSRCD,DECK SOURCE CODE,,분류어,생략
DMB,DMB,DIGITAL MULTIMEDIA BROADCASTING,,,생략
DMC,DMC,"DATE OF ATTACK, MOBILIZATION-DAY AND COMMENCEMENT DAY",,,생략
DN,DN,DISTINGUISHED NAME,,분류어,생략
DODIC,DODIC,DEPARTMENT OF DEFENCE IDENTIFICATION CODE,"DOD번호,DOD_번호,DODNO,DOD_NO,국방부식별기호,탄약식별번호,탄약식별부호",분류어,생략
DS2,DS2,DECONTAMINATIONG AGENT(DS2),,,생략
DUMMY,DUMMY,DUMMY,,,생략
DUR,DUR,DRUG UTILIZATION REVIEW,,,생략
D일,DDAY,D DAY,"D-DAY,DDAY,D DAY,공격개시일",분류어,생략
D일코드,DDAYCD,D DAY CODE,,분류어,생략
D표적,TGTD,TARGET D,,,생략
EAI,EAI,ENTERPRISE APPLICATION INTEGRATION,,,생략
EAI구분번호,EAIDVSNO,ENTERPRISE APPLICATION INTEGRATION DIVISION NUMBER,,분류어,생략
EAI문서번호,EAINO,ENTERPRISE APPLICATION INTEGRATION DOCUMENT NUMBER,,분류어,생략
EAI일련번호,EAISN,ENTERPRISE APPLICATION INTEGRATION SERIAL NUMBER,,분류어,생략
ECL,ECL,ENGLISH COMPREHENSION LEVEL,,,생략
EDX,EDX,EXTERNAL DATA EXCHANGE SERVICE,,,생략
EIX,EIX,EXTERNAL IMAGERY EXCHANGE,,,생략
ELNOT,ELNOT,ELECTRONIC INTELLIGENCE NOTATION,전자정보표시법,,생략
ELNOT번호,ELNOTNO,ELECTRONIC INTELLIGENCE NOTATION NUMBER,,분류어,생략
EMR,EMR,ELECTRONIC MEDICAL RECORD,,,생략
ERP,ERP,ENTERPRISE RESOURCE PLANNING,전사적자원관리,,생략
ES,ES,EXPLOSIVE SITE,,,생략
ETL,ETL,"EXTRACT, TRANSFORM AND LOAD",,,생략
E표적,TGTE,TARGET E,,,생략
F+10년도,FY10,FISCAL 10 YEAR,,,생략
F+11년도,FY11,FISCAL 11 YEAR,,,생략
F+1년도,FY1,FISCAL 1 YEAR,"F+1,F+1년,F1,F1년",,생략
F+2년도,FY2,FISCAL 2 YEAR,"F+2,F+2년,F2,F2년",,생략
F+3년도,FY3,FISCAL 3 YEAR,"F+3,F+3년,F3,F3년",,생략
