단어 명,물리 명,영문 명,금칙어,분류어 여부,정의내용
유형,TYPE,TYPE,"타입,TYPE",,생략
유형고정자산,TFXAST,TANGIBLE FIXED ASSETS,,,생략
유형번호,TYPENO,TYPE NUMBER,,분류어,생략
유형전투력,TCBPW,Tangible Combat Power,,,생략
유화제,EMLS,EMULSIFIER,,,생략
유황,SLFR,SULFUR,,,생략
유효,EFTV,EFFECTIVENESS,,,생략
유효기간,TRMVT,TERM OF VALIDITY,,,생략
유효성,VLDT,VALIDITY,,,생략
유효수요,EFDMD,EFFECTIVE DEMAND,,,생략
유효일자,EFTVDT,EFFECTIVENESS DATE,유효일,,생략
유효장,EFLENTRK,EFFECTIVE LENGTH OF TRACK,,,생략
유효풍속,EWSPD,EFFECTIVE WIND SPEED,,,생략
유효풍통신문,EDM,EFFECTIVE DOWNWIND MESSAGE,,,생략
유효풍향,EFDWD,EFFECTIVE DOWNWIND DIRECTION,,,생략
유효화,TKEFT,TAKE EFFECT,,,생략
유휴,UNS,UNUSED,,,생략
유휴일자,UNSDT,UNUSED DATE,유휴일,,생략
유휴재산,UNSPRPT,UNUSE PROPERTY,,,생략
유휴지,UNSLND,UNUSED LAND,,,생략
유흥,PLESR,PLEASURE,,,생략
유희,AMSMT,AMUSEMENT,,,생략
육경정,ACRFT,ARMY CRAFT,,,생략
육공군,ARMAF,ARMY AIR FORCE,,,생략
육교,OVRPS,OVERPASS,,,생략
육군,ARMY,ARMY,육,,생략
육군3사관학교,KAAY,KOREA ARMY ACADEMY AT YEONG-CHEON,"3사관학교,육군제3사관학교,3사관",,생략
육군공구부대유형코드,ATUTCD,ARMY TOOL UNIT TYPE CODE,,분류어,생략
육군군무원,AMCVN,ARMY MILITARY CIVILIAN,,,생략
육군대령,ACOL,ARMY COLONEL,,,생략
육군대위,ACPT,ARMY CAPTAIN,,,생략
육군대장,AGEN,ARMY GENERAL,,,생략
육군병,AMCSD,ARMY COMMON SOLDIER,,,생략
육군병장,ASGT,ARMY SERGEANT,,,생략
육군본부,ARMYHQ,ARMY HEADQUARTER,육본,,생략
육군본부직할부대,TUDCAM,TROOPS UNDER DIRECT CONTROL OF ARMY HEADQUARTER,육직,,생략
육군부사관,AMNCO,ARMY NONCOMMISSIONED OFFICER,,,생략
육군상등병,ACPL,ARMY CORPORAL,육군상병,,생략
육군상사,AMSG,ARMY MASTER SERGEANT,,,생략
육군선정표적범주코드,ASTGCGCD,ARMY SELECTION TARGET CATEGORY CODE,,분류어,생략
육군소령,AMAJ,ARMY MAJOR,,,생략
육군소위,ASNDLT,ARMY SECOND LIEUTENANT,,,생략
육군소장,AMG,ARMY MAJOR GENERAL,,,생략
육군원사,ASGM,ARMY SERGEANT MAJOR,,,생략
육군이동외과병원,MASH,MOBILE ARMY SURGICAL HOSPITAL,,,생략
육군이등병,APV2,ARMY PRIVATE,육군이병,,생략
육군일등병,APFC,ARMY PRIVATE FIRST CLASS,육군일병,,생략
육군임기제부사관,AMTONO,ARMY TERM OF OFFICE SYSTEM NONCOMMISSIONED OFFICER,,,생략
육군자력,ARMYQNR,ARMY QUALIFICATION AND CAREER,,,생략
육군장교,AMCOF,ARMY COMMISSIONED OFFICER,,,생략
육군장기복무,AMLTS,ARMY LONG TIME SERVICE,,,생략
육군전문하사,AMPSG,ARMY SPECIALITY STAFF SERGEANT,,,생략
육군전술지휘정보체계,ATCIS,ARMY TACTICAL COMMAND INFORMATION SYSTEM,ATCIS,,생략
육군전장기능영역구분코드,AMBTFDMDVSCD,ARMY BATTLEFIELD FUNCTION DOMAIN DIVISION CODE,,분류어,생략
육군주특기코드,APMOSCD,ARMY PRIMARY MILITARY OCCUPATIONAL SPECIALTY CODE,,분류어,생략
육군준사관,AMWRT,ARMY WARRANT OFFICER,,,생략
육군준위,AWO,ARMY WARRANT OFFICER,,,생략
육군준장,ABG,ARMY BRIGADIER GENERAL,,,생략
육군중령,ALTC,ARMY LIEUTENANT COLONEL,,,생략
육군중사,ASFC,ARMY SERGEANT FIRST CLASS,,,생략
육군중위,AFSTLT,ARMY FIRST LIEUTENANT,,,생략
육군중장,ALTG,ARMY LIEUTENANT GENERAL,,,생략
육군지원품목,ARSITM,ARMY SUPPORT ITEM,,,생략
육군지휘추천,AMDRCM,ARMY DIRECTION RECOMMAND,,,생략
육군하사,ASSG,ARMY STAFF SERGEANT,,,생략
육군항공,AAVN,ARMY AVIATION,,,생략
육군항공육경정작전구분코드,ACOCLCD,ARMY AVIATION/ARMY CRAFT OPERATION CLASSIFICATION CODE,,분류어,생략
육군항공작전사령부,AAOC,ARMY AVIATION OPERATION COMMAND,,,생략
육군항공화력,AVNFP,ARMY AVIATION FIRE POWER,,,생략
육군훈련병,APVT,ARMY PRIVATE,육군훈병,,생략
육군훈련소,KATC,KOREA ARMY TRAINING CENTER,,,생략
육도,CTNTMP,CONTINENTAL MAP,,,생략
육로,LNDRT,LAND ROUTE,,,생략
육로교통통제,HTC,HIGHWAY TRAFFIC CONTROL,,,생략
육로수송단,HTG,HIGHWAY TRANSPORTATION GROUP,,,생략
육로수송지원장비구분코드,LRTSQDCD,LAND ROUTE TRANSPORTATION SUPPORT EQUIPMENT DIVISION CODE,,분류어,생략
육로조정,HWRGL,HIGHWAY REGULATION,,,생략
육로조정소,HRP,HIGHWAY REGULATION POINT,,,생략
육상,GRND,GROUND,,,생략
육성,FOSTR,FOSTER,,,생략
육아,CHLDCR,CHILDCARE,,,생략
육아휴직,CLCLV,CHILDCARE LEAVE,,,생략
육안,NKEYE,NAKED EYE,,,생략
육운,LNDCRG,LAND CARRIAGE,,,생략
육지,LAND,LAND,,,생략
육해공,ANF,"ARMY, NAVY AND AIR FORCE",,,생략
육해군,ARMNAV,ARMY NAVY,,,생략
육해상,LNDSEA,LAND AND SEA,,,생략
육해상구분,DVSLNS,DIVISION OF LAND AND SEA,,,생략
육해상구분코드,SEAGRNDDVSCD,SEA GROUND DIVISION CODE,,분류어,생략
윤곽,CNTRS,CONTOURS,,,생략
윤달,LEPMN,LEAP MONTH,,,생략
윤락행위,ACTPRST,ACT OF PROSTITUTION,,,생략
윤리,MORALS,MORALS,,,생략
윤형,WHSH,WHEEL SHAPE,,,생략
윤형철조망,BTR,BARBED TYPE REEL,,,생략
윤활유,LBOIL,LUBRICATING OIL,,,생략
율,RTE,RATE,,분류어,생략
융자,FNCG,FINANCING,,,생략
융통어음,ACTBL,ACCOMMODATION BILL,,,생략
융통증권,NGTR,NEGOTIABLE INSTRUMENT,,,생략
융합,FUSION,FUSION,,,생략
은,SLVR,SILVER,AG,,생략
은밀,SCRCY,SECRECY,,,생략
은폐,CNCLM,CONCEALMENT,은닉,,생략
은폐물,CNCLMTR,CONCEALMENT MATERIAL,,,생략
은행,BNK,BANK,BANK,,생략
은행나무,GNKG,GINKGO,,,생략
을,SCND,SECOND,,,생략
을반,SNDCLS,SECOND CLASS,,,생략
을종사태,GRDB,GRADE B SITUATION,,,생략
음력,LNCLD,LUNAR CALENDAR,,,생략
음력양력구분코드,LSCDCD,LUNAR AND SOLAR CALENDAR DIVISION CODE,,분류어,생략
음성,NGTV,NEGATIVE,,,생략
음성,VOICE,VOICE,,,생략
음성통신운영명,VCON,VOICE COMMUNICATIONS OPERATION NAME,,,생략
음성통신장비,VCEID,VOICE COMMUNICATIONS EQUIPMENT,,,생략
음속,SNSPD,SONIC SPEED,,분류어,생략
음수,NGNO,NEGATIVE NUMBER,,,생략
음수대,WFLY,WATER FACILITY,,,생략
음악,MSC,MUSIC,,,생략
음악당,CHAL,CONCERT HALL,,,생략
음양,NGPS,NEGATIVE AND POSITIVE,,,생략
음어,CDWRD,CODE WORD,,,생략
음원,SNDSRC,SOUND SOURCE,,,생략
음주,DRKNG,DRINKING,,,생략
음주량,DRNKQTY,DRINKING QUANTITY,,,생략
음탐부표,SNBY,SONOBUOY,소노브이,,생략
음탐부표형태,SNBPT,SONOBUOY PATTERNS,,,생략
음파,SNDWV,SOUND WAVE,,,생략
음파탐지기,SONAR,SOUND NAVIGATION AND RANGING,소나,,생략
음파탐지기유형코드,SONARTYPCD,SOUND NAVIGATION AND RANGING TYPE CODE,,분류어,생략
음해,SLDR,SLANDER,,,생략
음향,SOUND,SOUND,,,생략
음향방위,ACSBR,ACOUSTIC BEARING,,,생략
음향방위분류,SDBCS,SOUND BEARING CLASSIFICATION,,,생략
읍,EUB,EUB,,,생략
읍면동,EMDONG,EUBMYENDONG,,,생략
읍면동일련번호,EMDONGSN,EUBMYENDONG SERIAL NUMBER,,분류어,생략
응고,CLOTTING,CLOTTING,,,생략
응급,EMGCY,EMERGENCY,,,생략
응급구조사,EMRRSC,EMERGENCY RESCUER,,,생략
응급실,ER,EMERGENCY ROOM,,,생략
응급진료,EMS,EMERGENCY MEDICAL SERVICE,,,생략
응급치료,FSTAID,FIRST AID,응급처치,,생략
응답,RSPN,RESPONSE,,,생략
응답번호,RSPNO,RESPONSE NUMBER,,분류어,생략
응답시간,RNTM,RESPONSE TIME,,,생략
응답자,RESPOND,RESPONDENT,,,생략
응모,APPLCN,APPLICANTION,,,생략
응분,ACWCR,ACCORDANCE WITH ONE'S CIRCUMSTANCES,,,생략
응소,RPTCL,REPORTED TO CALL,,,생략
응소번호,RTCNO,REPORTED TO CALL NUMBER,,분류어,생략
응시,APLEXM,APPLYING FOR AN EXAMINATION,,,생략
응시자,EXMNEE,EXAMINEE,,,생략
응신,RSPNS,RESPONSE,,,생략
응신번호,RESPNO,RESPONSE NUMBER,,분류어,생략
응신일자,RSPNDT,RESPONSE DATE,응신일,,생략
응용,APPLCTN,APPLICATION,,,생략
응용연구,APRSCH,APPLIED RESEARCH,,,생략
응용프로그램인터페이스,API,APPLICATION PROGRAMMING INTERFACE,API,,생략
응집,CHSN,COHESION,,,생략
응집제,CVGNS,COHESIVE AGENTS,,,생략
응착,ADH,ADHESION,,,생략
응찰,BID,BID,,,생략
의가사제대,DDD,DISCHARGE DUE TO DEPENDANTS,"의가사,의가사전역",,생략
의견,OPN,OPINION,,,생략
의견서,WRTOPN,WRITTEN OPINION,,,생략
의결,RSLTN,RESOLUTION,,,생략
의결서,DCM,DOCUMENT OF DICISION,,,생략
의결일자,DCSNDT,DECISION DATE,의결일,,생략
의과,MDCDPT,MEDICAL DEPARTMENT,,,생략
의과가산,MDADD,MEDICAL DEPARTMENT ADDITION,,,생략
의과대학,MDCLG,MEDICAL COLLEGE,,,생략
의과병원,MDHSP,MEDICAL DEPARTMENT HOSPITAL,,,생략
의과외래,MDABL,MEDICAL DEPARTMENT AMBULATORY CARE,,,생략
의과일반,MDGEN,MEDICAL DEPARTMENT GENERAL,,,생략
의도,INTNT,INTENT,,,생략
의량,CLHFD,CLOTHES AND FOOD,,,생략
의례,CRMNY,CEREMONY,,,생략
의뢰,REQS,REQUEST,,,생략
의뢰번호,REQSTNO,REQUEST NUMBER,,분류어,생략
의뢰서,WTNRQST,WRITTEN REQUEST,,,생략
의뢰서번호,WRNO,WRITTEN REQUEST NUMBER,,분류어,생략
의뢰유형,RETP,REQUEST TYPE,,,생략
의뢰인,CLIENT,CLIENT,의뢰자,,생략
의뢰일자,REQSTDT,REQUEST DATE,의뢰일,,생략
의료,MDCCR,MEDICAL CARE,,,생략
의료급여,MDAID,MEDICAL AID,,,생략
의료보험,MDISR,MEDICAL INSURANCE,의보,,생략
의료보험급여,MDISPAY,MEDICAL INSURANCE PAY,,,생략
의료보험카드,MICAD,MEDICAL INSURANCE CARD,,,생략
의료비,MDCEXP,MEDICAL EXPENSES,,,생략
의료비공제코드,MESCD,MEDICAL EXPENSES SUBTRACTION CODE,,분류어,생략
의료비대상코드,MEOCD,MEDICAL EXPENSES OBJECT CODE,,분류어,생략
의료시설,MLFLT,MEDICAL FACILITIES,,,생략
의료영상저장전송시스템번호,PACSNO,PICTURE ARCHIVING AND COMMUNICATION SYSTEMNUMBER,,분류어,생략
의류,CLTH,CLOTHES,,,생략
의류대,WRBAG,WEAR BAG,,,생략
의명,OO,ON ORDER,,,생략
의무,MDC,MEDICAL,,,생략
의무,OBLGTN,OBLIGATION,,,생략
의무교육,CPSEDU,COMPULSORY EDUCATION,,,생략
의무근무,MDCSVC,MEDICAL SERVICE,,,생략
의무기록사,MRMAN,MEDICAL RECORD MANAGER,,,생략
의무기록실,MRROM,MEDICAL RECORD ROOM,,,생략
의무병,MEDIC,MEDIC,위생병,,생략
의무보급협조단,MSCG,MEDICAL SUPPLY COORDINATING GROUP,,,생략
의무복무기간,MSOP,MILITARY SERVICE OBLIGATION PERIOD,,,생략
의무부대,MDCUNT,MEDICAL UNIT,,,생략
의무부대유형코드,MDCUNITYPCD,MEDICAL_UNIT TYPE CODE,,분류어,생략
의무자,RSPNER,RESPONSIBLE PERSON,,,생략
의무자문관,MDCADV,MEDICAL ADVISER,자문관,,생략
의무장비,MEQP,MEDICAL EQUIPMENT,,,생략
의무화,AFFACT,AFFIRMATIVE ACTION,,,생략
의문,DOUT,DOUBT,,,생략
의문사,INTRRGTV,INTERROGATIVE,,,생략
의미,MEAN,MEANING,,,생략
의병,ILLNS,ILLNESS,,,생략
의병전역,DDI,DISCHARGE DUE TO ILLNESS,의병제대,,생략
의사,DR,DOCTOR,,,생략
의사결정지원시스템,DSS,DECISION SUPPORT SYSTEM,DSS,,생략
의사번호,DRNO,DOCTOR NUMBER,,분류어,생략
의사소통,CMNC,COMMUNICATION,,,생략
의석,PRSEAT,PARLIAMENTARY SEAT,,,생략
의식,CSCNS,CONSCIOUSNESS,,,생략
의식상태,CSSTE,CONSCIOUSNESS STATE,,,생략
의심,SUPC,SUSPICION,,,생략
의약,MDCDR,MEDICINAL DRUG,,,생략
의약분업,SPDD,SEPARATION OF PRESCRIBING AND DISPENSING DRUGS,,,생략
의약분업예외,EXSPDD,EXCEPTION ABOUT SEPARATION OF PRESCRIBING AND DISPENSING DRUGS,,,생략
의약분업예외여부,EXSPDDYN,SEPARATION OF PRESCRIBING AND DISPENSING DRUGS YES OR NO,,분류어,생략
의약품,MDCSPL,MEDICAL SUPPLIES,,,생략
의약품전자문서교환,MEEDI,MEDICAL SUPPLIES ELECTRONIC DATA INTERCHANGE,,,생략
의약품제품코드번호,MSMGCODENO,MEDICAL SUPPLIES MANUFACTURED GOODS CODE NUMBER,,분류어,생략
의용,LYCRG,LOYALTY AND COURAGE,,,생략
의원,WANT,WANT,,,생략
의자,CHAIR,CHAIR,,,생략
의장,RGG,RIGGING,,,생략
의장대,HGD,HONOR GUARD,,,생략
의장장구류,RGGOUTF,RIGGING OUTFIT KIND,의장구류,,생략
의정,MDMST,MEDICAL ADMINISTRATION,,,생략
의제,FCTOUS,FICTITIOUS,,,생략
의제매입세액,DINPUTX,DEEMED INPUT TAX,,,생략
의제사항,FCMTR,FICTION MATTER,,,생략
의제상인,FCSRN,FICTITIOUS MERCHANT,,,생략
의존,DPNDNCY,DEPENDENCY,,,생략
의증,MBDSPC,MORBID SUSPICION,,,생략
의지,WILL,WILL,,,생략
의치,DNTR,DENTURE,,,생략
의학과,MSDPTMT,MEDICAL SCIENCE DEPARTMENT,,,생략
이각,ELNGT,ELONGATION,,,생략
이감,TRAPN,TRANSFER TO ANOTHER PRISON,,,생략
이격,GAP,GAP,,,생략
이견,DFNVW,DIFFERENT VIEW,,,생략
이관,TRFCTR,TRANSFER OF CONTROL,,,생략
이관이전,TRFBF,TRANSFER OF CONTROL BEFORE,,,생략
이관이후,TRFAF,TRANSFER OF CONTROL AFTER,,,생략
이관일자,DTRFCTR,DATE FOR TRANSFER OF CONTROL,이관일,,생략
이관자,MNTRFCTR,MAN WHO TRANSFER OF CONTROL,,,생략
이글루형탄약고,IGLMGZ,IGLOO MAGAZINE,,,생략
이남,STH,SOUTH OF,,,생략
이내,WITHN,WITHIN,,,생략
이념,IDLGY,IDEOLOGY,,,생략
이니셜,INIT,INITIAL,INITIAL,,생략
이더넷,ETHNT,ETHERNET,,,생략
이동,MOVE,MOVE,,,생략
이동관리,MOVMGT,MOVEMENT MANAGEMENT,,,생략
이동관리부대,MVCTAGC,MOVEMENT CONTROL AGENCIES,,,생략
이동보급소,MSP,MOBILE SUPPLY POINT,,,생략
이동부대유형코드,MVUNITYPCD,MOVE UNIT TYPE CODE,,분류어,생략
이동성,MVBLTY,MOVABILITY,,,생략
이동성생존성,MVSV,MOVABILITY SURVIVABILITY,,,생략
이동소요,MVRQM,MOVEMENT REQUIREMENT,,,생략
이동속도,MOVVLC,MOVEMENT VELOCITY,,분류어,생략
이동운용수준,MVOPRLVL,MOVING AVERAGE METHOD OPERATING LEVEL,이동OL,,생략
이동일자,MOVEDT,MOVE DATE,이동일,,생략
이동자,MVMN,MAN WHO MOVE,,,생략
이동전화번호,MBTLNUM,MOBILE TELEPHONE NUMBER,,,생략
이동정비,MM,MOBILE MAINTENANCE,,,생략
이동정비장비,LCUNT,LOCAL CONTROL UNIT,,,생략
이동조립발사장비,TELA,TRANSPORTER ERECTOR LAUNCHER,,,생략
이동중식별체계,ITV,IN-TRANSIT VISIBILITY,,,생략
이동지휘소,MCC,MOBILE COMMAND CENTER,MCC,,생략
이동처,MVPLC,MOVED PLACE,,,생략
이동추적체계,MTS,MOVEMENT TRACKING SYSTEM,,,생략
이동통제,MVCTR,MOVEMENT CONTROL,,,생략
이동평균,MVAVG,MOVING AVERAGE,,,생략
이동평균수요,MADMD,MOVING AVERAGE DEMAND,이동AD,,생략
이동표적,MVTGT,MOVING TARGET,,,생략
이동표적지시기,MTI,MOVING TARGET INDICATOR,이동표적표시기,,생략
이득,GAIN,GAIN,,,생략
이등병,PV2,PRIVATE,이병,,생략
이등분선,BISCT,BISECTOR,,,생략
이력,HISTRY,HISTORY,HISTORY,,생략
이력부,HSTDOC,HISTORY DOCUMENT,,,생략
이론,THRY,THEORY,,,생략
이론평가,TREV,THERETICAL EVALUATION,,,생략
이륙,TKOF,TAKE-OFF,,,생략
이륙거리,TOD,TAKE-OFF DISTANCE,,,생략
이륙시간구분코드,TKOFTIMEDVCD,TAKE-OFF TIME DVISION CODE,,분류어,생략
이륜,TWOWHL,TWO WHEELS,,,생략
이른,ERLY,EARLY,,,생략
이름,NAME,NAME,NAME,,생략
이매뉴얼,EMNL,E-MANUAL,,,생략
이메일,EMAIL,EMAIL,"전자메일,전자우편,EMAIL,MAIL,메일,E-MAIL,이메일주소",분류어,생략
이메일도메인코드,EMDCD,EMAIL DOMAIN CODE,,분류어,생략
이면,OTHSD,OTHER SIDE,,,생략
이모티콘,EMTCN,EMOTICON,,,생략
이물질,FRMTRL,FOREIGN MATERIAL,,,생략
이미지,IMAG,IMAGE,,,생략
이미지ID,IMGID,IMAGE IDENTIFICATION,,,생략
이미지목록,RMSTNIMGINFO,RMST NORMAL IMAGE INFORMATION,,,생략
이발,HRCT,HAIRCUT,,,생략
이벤트,EVNT,EVENT,EVENT,,생략
이별,PARTNG,PARTING,,,생략
이비인후과,OTOLARYN,OTOLARYNGOLOGY,,,생략
이사,MV,MOVE,,,생략
이사일자,MVDT,MOVING DATE,이사일,,생략
이사화물,MVCRG,MOVING CARGO,이삿짐,,생략
이산웨이블릿변환,DWT,DISCRETE WAVELET TRANSFORM,,,생략
이산화질소,NO2,NITROGEN DIOXIDE,,,생략
이산화탄소,CO2,CARBON DIOXIDE,CO2,,생략
이산화황,SO2,SULFUR DIOXIDE,,,생략
이상,ABNML,ABNORMALITY,,,생략
이상,MRTHN,MORE THAN,,,생략
이상반응,ABRCT,ABNORMALITY REACTION,,,생략
이상부위,ANREG,ABNORMALITY REGION,,,생략
이상지질혈증,DYSLPDM,DYSLIPIDEMIA,,,생략
이설,RLOCAT,RELOCATING,,,생략
이송,TRNFR,BE TRANSFERRED,,,생략
이수,CMPCRS,COMPLETION OF COURSE,,,생략
이슈관리,ISMNGMT,ISSUE MANAGEMENT,,,생략
이식,TRANSPLTN,TRANSPLANTATION,,,생략
이심,ECNTCY,ECCENTRICITY,,,생략
이심률,ECC,ECCENTRICITY,,,생략
이야기,STORY,STORY,,,생략
이양,HDOVR,HAND OVER,,,생략
이연,CARYOVR,CARRYOVER,,,생략
이연자산,DFRS,DEFERRED ASSET,,,생략
이온,ION,ION,,,생략
이완,RLXTN,RELAXATION,,,생략
이완기혈압,DBP,DIASTOLIC BLOOD PRESSURE,,,생략
이용,UTLZ,UTILIZE,,,생략
이용기관,UTLINSTT,UTILIZATION INSTITUTION,,,생략
이웃,NGHBHD,NEIGHBORHOOD,,,생략
이원화,DUAL,DUAL,,,생략
이월,CRFW,CARRYING FORWARD,,,생략
이월금,CROVR,CARRY-OVER,"이월금액,이월액",,생략
이월량,CRFWQTY,CARRYING FORWARD QUANTITY,,,생략
이유,RESN,REASON,,,생략
이윤,PF,PROFIT,,,생략
이윤율,PFRT,PROFIT RATE,,,생략
이음매,JOINT,JOINT,,,생략
이음매판,JNTBAR,JOINT BAR,FISH PLATE,,생략
이음부,JNTPRT,JOINT PART,,,생략
이의,OBJTN,OBJECTION,,,생략
이의신청,FMOBJ,FORMAL OBJECTION,이의제기,,생략
이의신청서,APLFMOJC,APPLICATION FORM OF OBJECTION,,,생략
이익,PRFT,PROFIT,,,생략
이익금,PROFT,PROFIT,이익금액,,생략
이익배당,PRFALT,PROFIT SHARING,,,생략
이익잉여금,ERNSPLS,EARNED SURPLUS,이익잉여금액,,생략
이익준비금,ENLRS,EARNED SURPLUS RESERVE,,,생략
이임,LVPST,LEAVE ONE`S POSITION,,,생략
이자,ITR,INTEREST,,,생략
이자소득,INRNT,INTEREST INCOME AMOUNT,,,생략
이자채권,ITCLM,INTEREST CLAIM,,,생략
이장,CGBST,CHANGE THE BURIAL SITE,,,생략
이적,TRNS,TRANSFER,,,생략
이전,RLCT,RELOCATION,,,생략
이전,BF,BEFORE,"예전,전",,생략
이전24시간,BF24H,Before 24 HOURS,,,생략
이전등기,TRFRGST,TRANSFER REGISTATION,,,생략
이전비,RLCEXP,RELOCATION EXPENSE,,,생략
이전일자,RLCTDT,RELOCATION DATE,이전일,,생략
이정표,TBDST,TABLE OF DISTANCES,,,생략
이종,HTGN,HETEROGENEITY,,,생략
이종이식,XNGRAFT,XENOGRAFT,,,생략
이주,MGRT,MIGRATION,,,생략
이주민,STTLER,SETTLER,,,생략
이주지,STTLMT,SETTLEMENT,,,생략
이중,DPLC,DUPLICATION,2중,,생략
이중검사,UINP,DUPLICATION INSPECTION,,,생략
이중과세,HEVTAX,HEAVY TAX,,,생략
이중매매,DPLCTRDE,DUPLICATION TRADE,,,생략
이중압류,DPLCSEIZR,DUPLICATION SEIZURE,,,생략
이중화,DPLX,DUPLEXING,,,생략
이진수,BNRY,BINARY,,,생략
이차,SECON,SECONDARY ,,,생략
이차감시레이더,SSR,SECONDARY SEARCH RADAR,"2차감시레이더, 2차탐색레이더",,생략
이착륙,TKOFLND,TAKE-OFF AND LANDING,,,생략
이첩,TRFNTF,TRANSFER OF NOTIFICATION,,,생략
이체,TRSFR,TRANSFER,,,생략
이체계좌,TRNSACNT,TRANSFER ACCOUNT,,,생략
이초장비,BCHGR,BEACH GEAR,,,생략
이탈,BRKW,BREAKAWAY,,,생략
이탈자,SECDER,SECEDER,,,생략
이하,LSTHN,LESS THAN,,,생략
이하선염,MUMPS,MUMPS,,,생략
이학,NTRSCNC,NATURAL SCIENCES,,,생략
이항분포,BMDSB,BINOMIAL DISTRIBUTION,,,생략
이해,UNDSTAND,UNDERSTANDING,,,생략
이해관계인,UDSTDPRCP,UNDERSTANDING PARTICIPANT,,,생략
이행,FULFMT,FULFILMENT,,,생략
이행불능,IMPBPR,IMPOSSIBILITY OF PERFORMANCE,,,생략
이행일자,PFMCDT,PERFORMANCE DATE,이행일,,생략
이화학,PHCHEM,PHYSICO-CHEMISTRY,,,생략
이화학분석검사,PCAI,PHYSICAL CHEMICAL ANALYSYS INSPECTATION,,,생략
이화학분석시험,PCAT,PHYSICAL CHEMISTRY ANALYTIC TEST,,,생략
이후,AFT,AFTER,후,,생략
익명,ANMT,ANONYMITY,,,생략
익명조합,AYASTN,ANONYMOUS ASSOCIATION,,,생략
익일,NXTY,NEXT DAY,,,생략
인,P,PHOSPHORUS,,,생략
인가,AUTHRZ,AUTHORIZE,,,생략
인가DODIC,AUTHDODIC,AUTHORIZED DODIC,,분류어,생략
인가대비과부족,AUOVRT,AUTHRZ VS OVRSHRT,,,생략
인가량,AUTHQTY,AUTHORIZED QUANTITY,"인가수량,인가보급량",,생략
인가병력,AS,AUTHORIZED STRENGTH,,,생략
인가부속품목록,ATHPTLST,AUTHORIZED PARTS LIST,,,생략
인가소요,AUTHDMD,AUTHORIZED DEMAND,,,생략
인가일자,AUTHDT,AUTHORIZE DATE,인가일,,생략
인가일자,APPVDT,APPROVAL DATE,인가일,,생략
인가자,AUTHPSN,AUTHORIZED PERSON,,,생략
인가저장품목,ASL,AUTHORIZED STOCKAGE LIST,ASL,,생략
인가초과청구원인코드,AERCCD,AUTHORIZE EXCESS REQUISITION CAUSE CODE,,분류어,생략
인간정보,HUMINT,HUMAN INTELLIGENCE,,,생략
인간정보보고서분류코드,HMINTRPTCLSCD,HUMAN INTELLIGENCE REPORT CLASSIFICATION CODE,,분류어,생략
인간정보분류코드,HMINTCLSCD,HUMAN INTELLIGENCE CLASSIFICATION CODE,,분류어,생략
인간정보출처코드,HMINTSRCD,HUMAN INTELLIGENCE SOURCE CODE,,분류어,생략
인감,SIGNET,SIGNET,,,생략
인건비,LBRCST,LABOR COST,,,생략
인계,HNDOVR,HANDOVER,,,생략
인계일자,HNDOVRDT,HANDOVER DATE,인계일,,생략
인계자,HDOVPSN,HANDOVER PERSON,,,생략
인계철선,TRWIRE,TRAP WIRES,,,생략
인공,RTFC,ARTIFICIAL,,,생략
인공심박조율기,PCMK,PACEMAKER,PACEMAKER,,생략
인공위성,ATFCS,ARTIFICIAL SATELLITE,,,생략
인공위성번호,ATFCSNO,ARTIFICIAL SATELLITE NUMBER,,분류어,생략
인공장애물,AOBST,ARTIFICIAL OBSTACLE,,,생략
인구,POPUL,POPULATION,,,생략
인권,HMRGT,HUMAN RIGHTS,,,생략
인근,VCNTY,VICINITY,,,생략
인기,POPULAR,POPULARITY,,,생략
인당,PERPSN,PER PERSON,,,생략
인도,DELVR,DELIVERY,,,생략
인도명령,ODLR,ORDER TO DELIVER,,,생략
인도응답기간,DRT,DELIVERY RESPONSE PERIOD,,,생략
인도인접,LNU,LEADING AND UNDERTAKING,,,생략
인도인접지,LNUPLC,LEADING AND UNDERTAKING PLACE,,,생략
인도일자,DLVRDT,DELIVERY DATE,인도일,,생략
인도자,DELVRER,DELIVERER,,,생략
인도조건코드,DLVCNDCD,DELIVERY CONDITION CODE,,분류어,생략
인도증권,DELYSCRITS,DELIVERY SECURITIES,,,생략
인디케이터,INDCT,INDICATOR,,,생략
인력,MNPWR,MANPOWER,,,생략
인력동원,LBMB,LABOR MOBILIZATION,,,생략
인력소요,MNPWRQM,MANPOWER REQUIREMENT,,,생략
인력운영,MPOPR,MANPOWER OPERATION,,,생략
인력운영계획,MOP,MANPOWER OPERATION PLAN,,,생략
인명,HMNLIF,HUMAN LIFE,,,생략
인문,SGL,SIGIL,,,생략
인물,PRSN,PERSON,,,생략
인보험,LFNNC,LIFE INSURANCE,,,생략
인부,WRKMAN,WORKMEN ,,,생략
인사,HR,HUMAN RESOURCE,,,생략
인사교류,HRI,HUMAN RESOURCE INTERCHANGE,,,생략
인사말,GRT,GREETING,,,생략
인사명령,PSNORD,PERSONNEL ORDERS,,,생략
인사명령일자,PSNORDT,PERSONNEL ORDERS DATE,인사명령일,,생략
인사참모,HRSTF,HUMAN RESOURCE STAFF,,,생략
인사평정서,HREDOC,HUMAN RESOURCE EVALUATION DOCUMENT,,,생략
인상,INCR,INCREASE,,,생략
